state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
California,NA,Bachelor,246,978.13,92711,62,1/0/00,Personal Auto,Two-Door Car,368.400146
California,NA,College,310,392.30,74665,78,1/2/00,Corporate Auto,Four-Door Car,236.902001
Washington,Female,College,1,048,491.54,61108,89,1/0/00,Personal Auto,Four-Door Car,49.451117
California,NA,Bachelor,890,273.76,46833,112,1/0/00,Personal Auto,Sports Car,64.109663
Oregon,NA,College,549,944.72,88768,68,1/0/00,Personal Auto,Two-Door Car,326.4
California,NA,College,1,502,359.86,28262,192,1/0/00,Personal Auto,Luxury SUV,921.6
Nevada,NA,Bachelor,250,910.79,33555,63,1/0/00,Personal Auto,Four-Door Car,101.89645
Oregon,NA,College,3,122,174.81,42780,113,1/1/00,Personal Auto,Four-Door Car,542.4
Oregon,NA,Master,313,350.34,58850,78,1/0/00,Personal Auto,Four-Door Car,143.747794
Arizona,NA,College,383,745.19,21880,97,1/0/00,Special Auto,Four-Door Car,424.077159
Oregon,NA,College,1,179,049.62,25251,66,1/0/00,Personal Auto,Four-Door Car,316.8
Washington,Female,College,282,986.39,25317,71,1/0/00,Personal Auto,Two-Door Car,50.422181
Arizona,NA,College,430,580.83,24188,109,1/0/00,Personal Auto,Sports Car,523.2
Nevada,NA,Bachelor,597,397.69,41611,74,1/0/00,Special Auto,Four-Door Car,113.801497
Oregon,NA,Bachelor,567,044.24,28406,72,1/1/00,Personal Auto,Four-Door Car,192.87572
Arizona,NA,College,473,174.93,69833,118,1/0/00,Personal Auto,Four-Door Car,828.662719
Arizona,NA,College,802,637.96,51236,74,1/0/00,Corporate Auto,Four-Door Car,532.8
Arizona,NA,College,402,296.35,51236,117,1/0/00,Personal Auto,SUV,975.107098
Oregon,NA,College,961,831.09,80536,119,1/0/00,Special Auto,Sports Car,53.798708
Washington,Female,Bachelor,725,595.38,88891,89,1/0/00,Personal Auto,Four-Door Car,50.528355
Oregon,NA,College,955,292.69,97732,79,1/0/00,Personal Auto,Four-Door Car,289.9122
Arizona,Female,Bachelor,1,038,855.32,61222,89,1/0/00,Special Auto,Four-Door Car,392.604371
Oregon,Male,College,247,012.12,51236,74,1/0/00,Personal Auto,Two-Door Car,721.242206
Arizona,Male,Master,561,906.85,50335,140,1/0/00,Personal Auto,SUV,456.52385
California,Female,College,904,711.92,51236,127,1/0/00,Personal Auto,Sports Car,1087.995426
Washington,Female,Doctorate,268,731.41,82210,68,1/4/00,Personal Auto,Four-Door Car,51.961915
Oregon,Female,College,373,150.46,51236,96,1/0/00,Personal Auto,Four-Door Car,460.8
Nevada,Male,Bachelor,366,077.03,64495,92,1/0/00,Corporate Auto,Four-Door Car,251.992083
California,Female,College,792,882.93,51236,72,1/0/00,Corporate Auto,Four-Door Car,345.6
Arizona,Female,Bachelor,501,175.16,28859,67,1/3/00,Corporate Auto,Two-Door Car,321.6
Arizona,Female,College,798,825.83,77330,99,1/0/00,Personal Auto,Four-Door Car,99.257608
Oregon,Male,College,388,545.64,51236,105,1/0/00,Corporate Auto,Four-Door Car,504
Washington,Female,College,935,773.78,33060,117,1/0/00,Personal Auto,Four-Door Car,56.731578
Washington,Male,Master,254,068.98,42557,65,1/0/00,Personal Auto,Four-Door Car,57.562324
Arizona,Male,College,488,516.25,26372,126,1/0/00,Personal Auto,SUV,604.8
Arizona,Female,Bachelor,975,330.71,17514,127,1/0/00,Personal Auto,SUV,8.312729
California,Female,Bachelor,294,615.37,89270,74,1/0/00,Personal Auto,Four-Door Car,316.599228
California,Male,College,258,111.09,29757,65,1/0/00,Personal Auto,Four-Door Car,312
Oregon,Male,College,351,738.58,51814,92,1/0/00,Personal Auto,Four-Door Car,56.300724
Oregon,Female,Bachelor,974,335.01,24028,82,1/0/00,Personal Auto,Four-Door Car,393.6
Arizona,Male,College,387,364.70,28142,105,1/0/00,Personal Auto,Sports Car,701.708239
Arizona,Female,Bachelor,764,928.20,52705,64,1/1/00,Personal Auto,Two-Door Car,128.705563
California,Male,College,228,759.69,51236,63,1/0/00,Corporate Auto,Two-Door Car,679.368378
Washington,Female,College,825,576.39,54040,103,1/0/00,Personal Auto,SUV,59.987126
California,Female,College,871,492.21,51236,118,1/0/00,Personal Auto,SUV,566.4
Washington,Female,Doctorate,681,923.12,22492,85,1/0/00,Personal Auto,Two-Door Car,61.654262
California,Male,Bachelor,741,619.73,51236,77,1/2/00,Personal Auto,Four-Door Car,554.4
Oregon,Male,Master,777,115.90,21876,68,1/0/00,Personal Auto,Four-Door Car,465.41477
California,Female,Bachelor,696,834.19,51236,69,1/1/00,Personal Auto,Four-Door Car,496.8
California,Female,College,425,028.26,51236,61,1/1/00,Personal Auto,Four-Door Car,292.8
Oregon,Female,College,1,977,656.65,70699,82,1/0/00,Personal Auto,Four-Door Car,256.813837
California,Female,College,2,134,346.60,51236,74,1/1/00,Personal Auto,Four-Door Car,355.2
California,Male,College,241,313.97,27501,63,1/0/00,Personal Auto,Four-Door Car,542.319401
Oregon,Female,Doctorate,1,536,384.72,15897,101,1/0/00,Personal Auto,Four-Door Car,303.148399
Nevada,Female,College,845,696.19,25141,73,1/1/00,Personal Auto,Four-Door Car,25.438063
Nevada,Female,College,218,964.25,51236,61,1/3/00,Personal Auto,Four-Door Car,292.8
California,Male,College,578,018.22,51066,74,1/0/00,Personal Auto,Four-Door Car,787.993313
California,Female,Bachelor,463,998.16,28358,117,1/0/00,Personal Auto,Sports Car,84.024413
Washington,Female,Doctorate,382,443.13,62530,95,1/0/00,Personal Auto,Four-Door Car,61.693771
Arizona,Female,Bachelor,596,811.89,90972,74,1/0/00,Personal Auto,Two-Door Car,232.926145
Washington,Female,Bachelor,859,033.50,63110,72,1/0/00,Personal Auto,Four-Door Car,68.179721
California,Female,Bachelor,407,663.47,29549,104,1/0/00,Personal Auto,Sports Car,710.433775
California,Female,Bachelor,1,225,260.18,51236,115,1/1/00,Personal Auto,Four-Door Car,552
Nevada,Female,Bachelor,1,693,627.15,39411,217,1/2/00,Personal Auto,Luxury Car,1122.658899
Oregon,Male,College,489,243.55,21709,62,1/0/00,Personal Auto,Four-Door Car,408.374746
Nevada,Male,Bachelor,994,230.48,67890,85,1/0/00,Personal Auto,Four-Door Car,408
California,Male,Bachelor,373,583.81,51236,110,1/0/00,Personal Auto,SUV,792
California,Female,College,1,311,752.22,84311,111,1/4/00,Personal Auto,SUV,532.8
California,Female,College,457,452.41,99316,114,1/0/00,Corporate Auto,SUV,754.358929
Arizona,Female,Bachelor,547,006.06,54507,138,1/0/00,Personal Auto,SUV,702.990032
California,Female,Bachelor,297,884.60,64586,76,1/0/00,Personal Auto,Four-Door Car,206.837111
Oregon,Male,College,641,096.75,61709,82,1/2/00,Personal Auto,Four-Door Car,275.395894
California,Male,Master,447,902.31,94656,111,1/1/00,Special Auto,SUV,459.738128
California,Female,College,238,373.19,51236,69,1/0/00,Special Auto,Two-Door Car,496.8
California,Male,Bachelor,276,449.37,61085,70,1/1/00,Personal Auto,Two-Door Car,336
Oregon,Female,Bachelor,792,010.54,89284,67,1/3/00,Personal Auto,Two-Door Car,321.6
Arizona,Female,College,688,909.80,51236,63,1/0/00,Personal Auto,Four-Door Car,302.4
Washington,Female,Bachelor,327,419.46,31686,81,1/0/00,Personal Auto,Four-Door Car,430.994107
Oregon,Male,College,995,170.77,56855,255,1/0/00,Corporate Auto,Luxury SUV,1836
Oregon,Male,Bachelor,252,155.57,53703,67,1/2/00,Special Auto,Four-Door Car,67.632476
Washington,Female,College,2,370,611.34,51236,96,1/1/00,Personal Auto,Two-Door Car,844.481918
California,Male,College,604,702.52,20396,76,1/1/00,Personal Auto,Four-Door Car,364.8
California,Female,Master,1,114,030.25,27679,150,1/0/00,Personal Auto,SUV,722.486994
Nevada,Female,Bachelor,433,406.41,23904,123,1/3/00,Personal Auto,SUV,590.4
Arizona,Female,College,279,974.79,65351,69,1/0/00,Corporate Auto,Four-Door Car,481.027516
California,Male,College,792,313.66,51236,113,1/0/00,Personal Auto,SUV,1124.427734
California,Male,College,368,811.09,51236,63,1/3/00,Personal Auto,Four-Door Car,669.682001
California,Male,College,1,206,745.60,51236,116,1/0/00,Personal Auto,SUV,1284.093173
California,Female,College,292,497.67,64459,72,1/0/00,Personal Auto,Four-Door Car,240.259479
California,Male,College,1,501,409.27,32961,190,1/0/00,Corporate Auto,SUV,912
Oregon,Female,College,927,723.38,71416,116,1/0/00,Corporate Auto,SUV,556.8
Washington,Female,Bachelor,627,412.39,68964,78,1/0/00,Personal Auto,Four-Door Car,115.086827
California,Male,College,388,664.74,78108,98,1/0/00,Personal Auto,Two-Door Car,470.4
California,Male,College,438,627.76,10621,67,1/0/00,Special Auto,Four-Door Car,321.6
Washington,Male,College,1,136,526.77,84910,95,1/0/00,Corporate Auto,Two-Door Car,383.167471
California,Female,College,561,096.43,77493,70,1/0/00,Special Auto,Four-Door Car,307.963291
Arizona,Male,College,291,289.20,81097,74,1/0/00,Personal Auto,Four-Door Car,355.2
Oregon,Female,College,691,572.99,96610,85,1/0/00,Corporate Auto,Four-Door Car,520.364752
Oregon,Male,College,626,266.33,30110,159,1/0/00,Corporate Auto,Sports Car,466.436375
Oregon,Female,College,650,339.70,22081,84,1/0/00,Special Auto,Two-Door Car,451.670309
Washington,Female,College,800,739.94,51236,112,1/0/00,Personal Auto,Sports Car,537.6
California,Male,College,292,991.65,98473,72,1/0/00,Personal Auto,Four-Door Car,345.6
Oregon,Female,Bachelor,596,955.30,97431,74,1/0/00,Personal Auto,Four-Door Car,355.2
California,Male,Bachelor,547,315.99,93870,69,1/0/00,Personal Auto,Four-Door Car,331.2
Nevada,Male,College,564,539.67,50366,72,1/0/00,Personal Auto,Four-Door Car,428.734656
Washington,Male,College,636,926.24,34498,83,1/0/00,Personal Auto,Two-Door Car,398.4
Oregon,Female,College,1,183,376.73,16552,103,1/0/00,Personal Auto,SUV,494.4
Oregon,Female,College,612,110.79,26787,77,1/0/00,Personal Auto,Four-Door Car,369.6
Nevada,Male,College,515,936.97,51236,74,1/0/00,Personal Auto,Two-Door Car,831.752839
Nevada,Female,College,251,459.20,43860,65,1/0/00,Corporate Auto,Four-Door Car,156.124914
Arizona,Male,College,866,861.13,21474,114,1/2/00,Corporate Auto,SUV,373.428187
California,Male,Bachelor,496,096.54,18174,66,1/0/00,Corporate Auto,Four-Door Car,395.934815
Arizona,Female,Bachelor,550,413.90,51236,73,1/0/00,Corporate Auto,Four-Door Car,350.4
Arizona,Male,College,750,745.54,60920,64,1/0/00,Personal Auto,Two-Door Car,231.201886
Arizona,Male,College,3,226,985.14,41520,90,1/0/00,Personal Auto,Four-Door Car,289.904105
Oregon,Female,Bachelor,565,703.16,51236,152,1/0/00,Personal Auto,SUV,729.6
Arizona,Male,College,506,175.79,51236,68,1/0/00,Personal Auto,Two-Door Car,326.4
California,Male,Bachelor,591,278.38,72208,73,1/0/00,Personal Auto,Two-Door Car,350.4
California,Female,Bachelor,1,518,227.98,53863,63,1/0/00,Personal Auto,Four-Door Car,105.765111
Washington,Male,College,1,074,703.09,66446,136,1/0/00,Corporate Auto,SUV,639.464548
Washington,Male,College,205,062.35,51236,61,1/0/00,Personal Auto,Four-Door Car,292.8
Washington,Female,Bachelor,246,544.49,64997,63,1/1/00,Personal Auto,Four-Door Car,383.442328
Nevada,Female,College,534,312.13,64460,66,1/0/00,Corporate Auto,Two-Door Car,316.8
Arizona,Female,College,811,982.91,46618,67,1/0/00,Personal Auto,Four-Door Car,99.085943
Oregon,Female,College,460,526.52,51236,64,1/0/00,Corporate Auto,Four-Door Car,307.2
California,Male,College,640,878.56,49988,84,1/5/00,Personal Auto,Two-Door Car,566.935022
California,Female,College,237,653.35,51236,91,1/5/00,Personal Auto,Two-Door Car,436.8
California,Male,Bachelor,321,107.00,16269,86,1/0/00,Corporate Auto,Two-Door Car,412.8
Arizona,Female,Bachelor,509,452.23,72006,64,1/0/00,Personal Auto,Four-Door Car,307.2
Arizona,Female,College,2,575,527.82,51236,81,1/2/00,Personal Auto,Four-Door Car,388.8
Oregon,Male,Bachelor,867,222.97,51236,245,1/0/00,Corporate Auto,Luxury SUV,2345.413441
California,Male,Master,804,473.07,44320,67,1/0/00,Personal Auto,Four-Door Car,321.6
Arizona,Female,College,400,151.91,19782,108,1/0/00,Personal Auto,Two-Door Car,773.470977
Nevada,Female,Bachelor,1,670,611.70,63933,70,1/0/00,Personal Auto,Two-Door Car,424.883448
Arizona,Male,Doctorate,854,441.11,28224,109,1/0/00,Personal Auto,SUV,523.2
Washington,Female,College,780,531.29,21073,106,1/1/00,Personal Auto,SUV,508.8
Oregon,Male,Bachelor,611,275.69,63243,77,1/0/00,Personal Auto,Four-Door Car,364.240307
Nevada,Male,College,477,294.38,20993,133,1/0/00,Personal Auto,SUV,638.4
Oregon,Female,Bachelor,1,097,909.56,94827,135,1/0/00,Personal Auto,SUV,354.729129
California,Female,Master,500,426.38,39161,63,1/1/00,Personal Auto,Two-Door Car,283.995953
Washington,Male,Bachelor,1,322,304.38,37534,84,1/2/00,Personal Auto,Four-Door Car,403.2
Oregon,Female,Bachelor,262,331.54,80210,65,1/0/00,Corporate Auto,Four-Door Car,20.543176
California,Male,Bachelor,1,784,019.56,51236,62,1/0/00,Personal Auto,Four-Door Car,385.115437
California,Female,College,510,611.18,30110,64,1/0/00,Personal Auto,Four-Door Car,140.165035
Arizona,Female,College,1,793,060.45,21708,68,1/0/00,Personal Auto,Four-Door Car,326.4
Arizona,Male,College,545,734.26,94731,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,Male,Bachelor,656,364.41,32375,83,1/0/00,Personal Auto,Four-Door Car,398.4
Oregon,Male,College,481,252.52,16531,63,1/0/00,Corporate Auto,Four-Door Car,102.879769
Arizona,Female,Master,2,932,804.19,32006,94,1/0/00,Corporate Auto,Four-Door Car,56.868289
Arizona,Female,Bachelor,577,352.07,81676,72,1/0/00,Personal Auto,Two-Door Car,463.158502
California,Male,College,684,711.89,71038,86,1/0/00,Corporate Auto,Four-Door Car,205.444066
Arizona,Female,College,359,531.29,51236,103,1/0/00,Corporate Auto,Sports Car,741.6
Nevada,Female,Master,2,285,561.21,20832,65,1/0/00,Personal Auto,Two-Door Car,56.371967
Washington,Male,College,785,941.46,51236,113,1/0/00,Personal Auto,SUV,813.6
Oregon,Male,College,411,557.74,52405,103,1/0/00,Personal Auto,Four-Door Car,494.4
Arizona,Female,College,502,963.88,51236,133,1/0/00,Personal Auto,Sports Car,795.864079
Washington,Female,Bachelor,482,141.85,26583,1005,1/4/00,Personal Auto,SUV,614.4
Oregon,Male,Master,500,431.05,25486,65,1/0/00,Special Auto,Two-Door Car,72.438681
Arizona,Male,College,863,005.39,24065,111,1/0/00,Corporate Auto,Four-Door Car,532.8
Arizona,Female,College,932,208.51,70435,116,1/0/00,Personal Auto,Four-Door Car,67.881546
California,Male,College,1,672,756.06,51236,76,1/2/00,Personal Auto,Two-Door Car,402.636829
Oregon,Female,College,365,253.24,39679,92,1/0/00,Personal Auto,Two-Door Car,641.388616
Nevada,Male,College,615,860.12,51236,89,1/0/00,Personal Auto,Four-Door Car,342.481173
California,Male,Bachelor,437,608.40,51236,69,1/4/00,Personal Auto,Two-Door Car,331.2
Nevada,Male,College,556,945.62,53565,71,1/1/00,Personal Auto,Four-Door Car,340.8
Washington,Male,Bachelor,257,651.30,37574,66,1/1/00,Personal Auto,Two-Door Car,412.101933
Washington,Male,Bachelor,834,698.32,48259,108,1/0/00,Personal Auto,Two-Door Car,73.700573
Arizona,Female,College,632,392.39,78532,78,1/0/00,Personal Auto,Four-Door Car,374.4
Arizona,Female,Bachelor,597,314.34,96163,73,1/0/00,Corporate Auto,Four-Door Car,350.4
California,Male,Bachelor,470,667.70,51236,72,1/0/00,Personal Auto,Four-Door Car,345.6
California,Male,College,809,341.03,51236,114,1/1/00,Personal Auto,Sports Car,722.024742
Washington,Male,College,503,574.46,72672,63,1/0/00,Personal Auto,Four-Door Car,259.361117
Oregon,Female,Bachelor,902,786.72,99002,112,1/1/00,Personal Auto,Four-Door Car,537.6
California,Male,College,728,888.48,79494,91,1/0/00,Personal Auto,Four-Door Car,396.295614
Oregon,Male,Master,1,804,247.94,35704,225,1/0/00,Personal Auto,Luxury Car,358.281562
Arizona,Female,Bachelor,499,206.30,51236,71,1/0/00,Corporate Auto,Four-Door Car,653.388564
Oregon,Female,College,910,226.78,26049,118,1/0/00,Personal Auto,Two-Door Car,121.032372
Arizona,Male,Doctorate,254,040.77,70125,64,1/0/00,Special Auto,Four-Door Car,92.813396
California,Male,College,1,294,189.19,52369,110,1/1/00,Personal Auto,SUV,528
